<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.14	23:00:00	1.24232	1.24341	1.24211	1.24256	1772	0	6
2022.12.15	00:00:00	1.24166	1.24313	1.24166	1.24261	330	0	17
2022.12.15	01:00:00	1.24256	1.24267	1.24159	1.24179	1261	0	17
2022.12.15	02:00:00	1.24179	1.24256	1.24076	1.24227	2064	0	6
2022.12.15	03:00:00	1.24229	1.24240	1.23983	1.23997	2667	0	8
2022.12.15	04:00:00	1.24003	1.24031	1.23900	1.23943	2130	0	8
2022.12.15	05:00:00	1.23943	1.23955	1.23863	1.23870	1378	0	8
2022.12.15	06:00:00	1.23870	1.23873	1.23775	1.23798	1263	0	8
2022.12.15	07:00:00	1.23800	1.23937	1.23767	1.23927	2091	0	5
2022.12.15	08:00:00	1.23927	1.24021	1.23883	1.23960	2208	0	2
2022.12.15	09:00:00	1.23967	1.23967	1.23770	1.23802	3898	0	1
2022.12.15	10:00:00	1.23805	1.23847	1.23115	1.23163	7554	0	1
2022.12.15	11:00:00	1.23161	1.23432	1.22961	1.23392	6788	0	1
2022.12.15	12:00:00	1.23392	1.23556	1.23286	1.23322	5882	0	3
2022.12.15	13:00:00	1.23323	1.23515	1.23210	1.23365	5463	0	1
2022.12.15	14:00:00	1.22992	1.23357	1.22927	1.23110	8412	0	0
2022.12.15	15:00:00	1.23109	1.23278	1.22894	1.23173	12280	0	1
2022.12.15	16:00:00	1.23173	1.23570	1.22900	1.23014	16050	0	1
2022.12.15	17:00:00	1.23014	1.23068	1.22146	1.22160	12547	0	1
2022.12.15	18:00:00	1.22160	1.22248	1.22020	1.22043	8390	0	1
2022.12.15	19:00:00	1.22044	1.22099	1.21561	1.21591	8369	0	1
2022.12.15	20:00:00	1.21591	1.21819	1.21577	1.21811	4448	0	5
2022.12.15	21:00:00	1.21805	1.21922	1.21702	1.21904	3769	0	4
2022.12.15	22:00:00	1.21904	1.21958	1.21770	1.21778	3753	0	4
2022.12.15	23:00:00	1.21778	1.21794	1.21716	1.21759	1369	0	6
2022.12.16	00:00:00	1.21757	1.21863	1.21718	1.21829	1424	0	7
2022.12.16	01:00:00	1.21829	1.21910	1.21739	1.21901	1029	0	9
2022.12.16	02:00:00	1.21900	1.22066	1.21886	1.21939	2081	0	7
2022.12.16	03:00:00	1.21940	1.22039	1.21884	1.22013	3409	0	8
2022.12.16	04:00:00	1.22013	1.22227	1.22008	1.22180	3441	0	8
2022.12.16	05:00:00	1.22180	1.22180	1.22009	1.22044	1781	0	8
2022.12.16	06:00:00	1.22044	1.22143	1.21996	1.22134	1832	0	7
2022.12.16	07:00:00	1.22134	1.22181	1.22000	1.22057	1741	0	1
2022.12.16	08:00:00	1.22057	1.22225	1.22001	1.22107	2458	0	1
2022.12.16	09:00:00	1.22076	1.22103	1.21720	1.21766	4678	0	1
2022.12.16	10:00:00	1.21766	1.21948	1.21577	1.21696	7491	0	1
2022.12.16	11:00:00	1.21694	1.21718	1.21196	1.21444	7529	0	1
2022.12.16	12:00:00	1.21441	1.21766	1.21395	1.21756	6039	0	1
2022.12.16	13:00:00	1.21754	1.22156	1.21732	1.21910	5193	0	0
2022.12.16	14:00:00	1.21907	1.21984	1.21721	1.21733	4599	0	5
2022.12.16	15:00:00	1.21733	1.21903	1.21625	1.21886	6072	0	4
2022.12.16	16:00:00	1.21886	1.22223	1.21602	1.22177	10995	0	1
2022.12.16	17:00:00	1.22177	1.22203	1.21470	1.21539	10451	0	1
2022.12.16	18:00:00	1.21546	1.21725	1.21453	1.21670	8733	0	1
2022.12.16	19:00:00	1.21670	1.21947	1.21659	1.21797	5348	0	2
2022.12.16	20:00:00	1.21799	1.21895	1.21736	1.21784	3787	0	4
2022.12.16	21:00:00	1.21783	1.21792	1.21651	1.21665	3271	0	6
2022.12.16	22:00:00	1.21667	1.21815	1.21588	1.21616	3484	0	4
2022.12.16	23:00:00	1.21616	1.21629	1.21498	1.21531	2028	0	6
2022.12.19	00:00:00	1.21376	1.21667	1.21376	1.21611	455	0	17
2022.12.19	01:00:00	1.21610	1.21692	1.21555	1.21586	3414	0	9
2022.12.19	02:00:00	1.21594	1.21802	1.21538	1.21791	3063	0	8
2022.12.19	03:00:00	1.21787	1.21969	1.21761	1.21968	2990	0	8
2022.12.19	04:00:00	1.21968	1.22020	1.21823	1.21828	3107	0	6
2022.12.19	05:00:00	1.21827	1.21932	1.21773	1.21815	2320	0	8
2022.12.19	06:00:00	1.21817	1.21870	1.21747	1.21823	2086	0	8
2022.12.19	07:00:00	1.21823	1.21835	1.21672	1.21696	2159	0	5
2022.12.19	08:00:00	1.21696	1.21880	1.21692	1.21856	3073	0	4
2022.12.19	09:00:00	1.21855	1.21940	1.21723	1.21906	4483	0	3
2022.12.19	10:00:00	1.21911	1.22172	1.21909	1.22084	5830	0	1
2022.12.19	11:00:00	1.22083	1.22421	1.22034	1.22121	10050	0	1
2022.12.19	12:00:00	1.22119	1.22240	1.21989	1.22070	7670	0	1
